group,pc1_center_nm,pc2_center_nm,frame_count,probability,free_energy_kj_mol
complex_all_replicates,-3.7183025,0.6058661000000005,1,0.0004161464835622,9.138163906645048
complex_all_replicates,-3.7183025,0.7795219000000007,0,0.0,
complex_all_replicates,-3.7183025,0.9531777000000008,0,0.0,
complex_all_replicates,-3.7183025,1.1268335000000005,0,0.0,
complex_all_replicates,-3.7183025,1.3004893000000006,0,0.0,
complex_all_replicates,-3.7183025,1.4741451000000008,0,0.0,
complex_all_replicates,-3.7183025,1.647800900000001,0,0.0,
complex_all_replicates,-3.7183025,1.821456700000001,0,0.0,
complex_all_replicates,-3.7183025,1.9951125000000007,0,0.0,
complex_all_replicates,-3.7183025,2.168768300000001,0,0.0,
complex_all_replicates,-3.7183025,2.342424100000001,0,0.0,
complex_all_replicates,-3.7183025,2.5160799000000007,0,0.0,
complex_all_replicates,-3.7183025,2.689735700000001,0,0.0,
complex_all_replicates,-3.7183025,2.863391500000001,0,0.0,
complex_all_replicates,-3.7183025,3.0370473000000007,0,0.0,
complex_all_replicates,-3.7183025,3.210703100000001,0,0.0,
complex_all_replicates,-3.7183025,3.384358900000001,0,0.0,
complex_all_replicates,-3.7183025,3.5580147000000006,0,0.0,
complex_all_replicates,-3.7183025,3.731670500000001,0,0.0,
complex_all_replicates,-3.7183025,3.905326300000002,0,0.0,
complex_all_replicates,-3.7183025,4.078982100000001,0,0.0,
complex_all_replicates,-3.5143575,-4.430152100000001,0,0.0,
complex_all_replicates,-3.5143575,-4.2564963,0,0.0,
complex_all_replicates,-3.5143575,-4.0828405,0,0.0,
complex_all_replicates,-3.5143575,-3.9091847,0,0.0,
complex_all_replicates,-3.5143575,-3.7355289,0,0.0,
complex_all_replicates,-3.5143575,-3.5618731,0,0.0,
complex_all_replicates,-3.5143575,-3.3882173,0,0.0,
complex_all_replicates,-3.5143575,-3.2145615000000003,3,0.0012484394506866,6.39785266490312
complex_all_replicates,-3.5143575,-3.0409057,1,0.0004161464835622,9.138163906645048
complex_all_replicates,-3.5143575,-2.8672499,0,0.0,
complex_all_replicates,-3.5143575,-2.6935941,0,0.0,
complex_all_replicates,-3.5143575,-2.5199383,2,0.0008322929671244,7.409220010183719
complex_all_replicates,-3.5143575,-2.3462825,3,0.0012484394506866,6.39785266490312
complex_all_replicates,-3.5143575,-2.1726267,2,0.0008322929671244,7.409220010183719
complex_all_replicates,-3.5143575,-1.9989709,4,0.0016645859342488,5.680276113722391
complex_all_replicates,-3.5143575,-1.8253151,3,0.0012484394506866,6.39785266490312
complex_all_replicates,-3.5143575,-1.6516592999999995,1,0.0004161464835622,9.138163906645048
complex_all_replicates,-3.5143575,-1.4780034999999996,1,0.0004161464835622,9.138163906645048
complex_all_replicates,-3.5143575,-1.3043476999999997,2,0.0008322929671244,7.409220010183719
complex_all_replicates,-3.5143575,-1.1306918999999995,6,0.0024968789013732,4.668908768441791
complex_all_replicates,-3.5143575,-0.9570360999999996,6,0.0024968789013732,4.668908768441791
complex_all_replicates,-3.5143575,-0.7833802999999997,10,0.0041614648356221,3.3947366025061334
complex_all_replicates,-3.5143575,-0.6097244999999998,11,0.0045776113191843,3.1570007243767577
complex_all_replicates,-3.5143575,-0.4360686999999996,11,0.0045776113191843,3.1570007243767577
complex_all_replicates,-3.5143575,-0.2624128999999997,8,0.0033291718684977,3.951332217261062
complex_all_replicates,-3.5143575,-0.0887570999999995,7,0.0029130253849354,4.284404748952884
complex_all_replicates,-3.5143575,0.0848987000000005,13,0.0054099042863087,2.740311241741927
complex_all_replicates,-3.5143575,0.2585545000000002,7,0.0029130253849354,4.284404748952884
complex_all_replicates,-3.5143575,0.4322103000000004,5,0.002080732417811,5.123680498967462
complex_all_replicates,-3.5143575,0.6058661000000005,0,0.0,
complex_all_replicates,-3.5143575,0.7795219000000007,0,0.0,
complex_all_replicates,-3.5143575,0.9531777000000008,0,0.0,
complex_all_replicates,-3.5143575,1.1268335000000005,0,0.0,
complex_all_replicates,-3.5143575,1.3004893000000006,0,0.0,
complex_all_replicates,-3.5143575,1.4741451000000008,0,0.0,
complex_all_replicates,-3.5143575,1.647800900000001,0,0.0,
complex_all_replicates,-3.5143575,1.821456700000001,0,0.0,
complex_all_replicates,-3.5143575,1.9951125000000007,0,0.0,
complex_all_replicates,-3.5143575,2.168768300000001,0,0.0,
complex_all_replicates,-3.5143575,2.342424100000001,0,0.0,
complex_all_replicates,-3.5143575,2.5160799000000007,0,0.0,
complex_all_replicates,-3.5143575,2.689735700000001,0,0.0,
complex_all_replicates,-3.5143575,2.863391500000001,0,0.0,
complex_all_replicates,-3.5143575,3.0370473000000007,0,0.0,
complex_all_replicates,-3.5143575,3.210703100000001,0,0.0,
complex_all_replicates,-3.5143575,3.384358900000001,0,0.0,
complex_all_replicates,-3.5143575,3.5580147000000006,0,0.0,
complex_all_replicates,-3.5143575,3.731670500000001,0,0.0,
complex_all_replicates,-3.5143575,3.905326300000002,0,0.0,
complex_all_replicates,-3.5143575,4.078982100000001,0,0.0,
complex_all_replicates,-3.3104124999999995,-4.430152100000001,0,0.0,
complex_all_replicates,-3.3104124999999995,-4.2564963,0,0.0,
complex_all_replicates,-3.3104124999999995,-4.0828405,0,0.0,
complex_all_replicates,-3.3104124999999995,-3.9091847,0,0.0,
complex_all_replicates,-3.3104124999999995,-3.7355289,0,0.0,
complex_all_replicates,-3.3104124999999995,-3.5618731,0,0.0,
complex_all_replicates,-3.3104124999999995,-3.3882173,3,0.0012484394506866,6.39785266490312
complex_all_replicates,-3.3104124999999995,-3.2145615000000003,1,0.0004161464835622,9.138163906645048
complex_all_replicates,-3.3104124999999995,-3.0409057,2,0.0008322929671244,7.409220010183719
complex_all_replicates,-3.3104124999999995,-2.8672499,0,0.0,
complex_all_replicates,-3.3104124999999995,-2.6935941,1,0.0004161464835622,9.138163906645048
complex_all_replicates,-3.3104124999999995,-2.5199383,2,0.0008322929671244,7.409220010183719
complex_all_replicates,-3.3104124999999995,-2.3462825,5,0.002080732417811,5.123680498967462
complex_all_replicates,-3.3104124999999995,-2.1726267,7,0.0029130253849354,4.284404748952884
complex_all_replicates,-3.3104124999999995,-1.9989709,5,0.002080732417811,5.123680498967462
complex_all_replicates,-3.3104124999999995,-1.8253151,4,0.0016645859342488,5.680276113722391
complex_all_replicates,-3.3104124999999995,-1.6516592999999995,0,0.0,
complex_all_replicates,-3.3104124999999995,-1.4780034999999996,3,0.0012484394506866,6.39785266490312
complex_all_replicates,-3.3104124999999995,-1.3043476999999997,7,0.0029130253849354,4.284404748952884
complex_all_replicates,-3.3104124999999995,-1.1306918999999995,4,0.0016645859342488,5.680276113722391
complex_all_replicates,-3.3104124999999995,-0.9570360999999996,10,0.0041614648356221,3.3947366025061334
complex_all_replicates,-3.3104124999999995,-0.7833802999999997,6,0.0024968789013732,4.668908768441791
complex_all_replicates,-3.3104124999999995,-0.6097244999999998,9,0.0037453183520599,3.657541423161193
complex_all_replicates,-3.3104124999999995,-0.4360686999999996,11,0.0045776113191843,3.1570007243767577
complex_all_replicates,-3.3104124999999995,-0.2624128999999997,10,0.0041614648356221,3.3947366025061334
complex_all_replicates,-3.3104124999999995,-0.0887570999999995,2,0.0008322929671244,7.409220010183719
complex_all_replicates,-3.3104124999999995,0.0848987000000005,8,0.0033291718684977,3.951332217261062
complex_all_replicates,-3.3104124999999995,0.2585545000000002,2,0.0008322929671244,7.409220010183719
complex_all_replicates,-3.3104124999999995,0.4322103000000004,0,0.0,
complex_all_replicates,-3.3104124999999995,0.6058661000000005,2,0.0008322929671244,7.409220010183719
