"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","6/139","41/4898",0.146341463414634,5.15669415686963,4.56741577282607,0.000929849288992985,0.224093678647309,0.222185040633061,"C3AR1/CD55/CD59/CR1/ITGAM/SERPINB2",6
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","5/139","32/4898",0.15625,5.50584532374101,4.36998368753903,0.00185971652622873,0.224095841410562,0.222187184975748,"ACER3/B4GALT5/GM2A/SPTLC2/UGCG",5
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","7/139","72/4898",0.0972222222222222,3.42585931254996,3.54366614554973,0.00402868353913208,0.323637577643611,0.320881109958941,"CD55/CD59/CR1/FCGR1A/IL1R1/IL1R2/ITGAM",7
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","12/139","195/4898",0.0615384615384615,2.16845600442723,2.84548814586411,0.00889405974587628,0.399387852101436,0.395986208460476,"ATP6V1C1/BPI/CD63/CR1/FCAR/FCGR1A/ITGAM/LCN2/LTF/MMP8/MMP9/RABGEF1",12
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","5/139","47/4898",0.106382978723404,3.74866064595132,3.23570571404601,0.010086420810066,0.399387852101436,0.395986208460476,"CR1/ITGAM/NAIP/NLRC4/SAR1B",5
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","8/139","108/4898",0.0740740740740741,2.61017852384759,2.891563610305,0.0111269988062893,0.399387852101436,0.395986208460476,"FCGR1A/IL1R1/LILRA5/LILRA6/MAP2K6/MAPK14/OSCAR/SOCS3",8
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","9/139","131/4898",0.0687022900763359,2.42089076830139,2.81700984126958,0.0116004770319919,0.399387852101436,0.395986208460476,"BCL2A1/CCNA1/CDKN2C/FCGR1A/GADD45A/HPGD/IL1R2/ITGAM/MMP9",9
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","7/139","98/4898",0.0714285714285714,2.5169578622816,2.59227180418408,0.020611427656387,0.620919258148659,0.615630799736823,"IL1R1/IL1R2/MAP2K6/MAPK14/MEF2A/MMP9/TXN",7
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","3/139","22/4898",0.136363636363636,4.8051013734467,3.05675283152523,0.0232081114884211,0.62146165207883,0.616168574020068,"ALOX5/CYP1B1/LDLR",3
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","3/139","23/4898",0.130434782608696,4.59618392242727,2.95415380605005,0.0261472041344142,0.630147619639383,0.624780561948634,"B4GALT5/GALNT14/ST6GALNAC3",3
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","3/139","25/4898",0.12,4.22848920863309,2.76557689015967,0.0325948332840033,0.71412316558589,0.708040876121411,"HK3/PFKFB2/PFKFB3",3
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","4/139","45/4898",0.0888888888888889,3.13221422861711,2.45553737118399,0.0376880633837008,0.737712602843392,0.731429398757152,"C3AR1/FCAR/FCGR1A/ITGAM",4
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","3/139","27/4898",0.111111111111111,3.91526778577138,2.59576797847384,0.0397936258795191,0.737712602843392,0.731429398757152,"ALOX5/HPGD/PLB1",3
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","6/139","93/4898",0.0645161290322581,2.27338129496403,2.11869208481729,0.0477014395590658,0.821146209552489,0.814152389466761,"CR1/FCGR1A/ITGAM/MAPK14/PADI4/SIGLEC9",6
NA,NA,"hsa04382","Cornified envelope formation","5/139","73/4898",0.0684931506849315,2.41352123780428,2.07936011332551,0.0552793988791778,0.835556309496504,0.828439756521976,"COL17A1/S100A12/S100A8/SPTLC2/UGCG",5
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","3/139","31/4898",0.0967741935483871,3.41007194244604,2.30035456069062,0.0563781104524205,0.835556309496504,0.828439756521976,"LDLR/SORT1/TSPO",3
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","4/139","52/4898",0.0769230769230769,2.71057000553403,2.11916815506874,0.0589396566864754,0.835556309496504,0.828439756521976,"ALOX5/FCER1G/MAP2K6/MAPK14",4
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","4/139","55/4898",0.0727272727272727,2.5627207325049,1.99168239208262,0.0696517838173042,0.890980265532398,0.883391658772021,"LCN2/MAPK14/MMP9/S100A8",4
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","4/139","56/4898",0.0714285714285714,2.5169578622816,1.9510560136394,0.0734311589581997,0.890980265532398,0.883391658772021,"ARG1/IL1R1/IL1R2/ITGAM",4
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","8/139","159/4898",0.050314465408805,1.77295145016063,1.69325366329197,0.0812269955252785,0.890980265532398,0.883391658772021,"COX7B/CYP1B1/HGF/MAPK14/NDUFA4/NDUFB1/NDUFB3/SLC26A6",8
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","7/139","134/4898",0.0522388059701493,1.84076022763878,1.68637160748936,0.0853196033185137,0.890980265532398,0.883391658772021,"ACVR1B/IL18R1/IL18RAP/IL1R1/IL1R2/IL1RN/OSM",7
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","3/139","37/4898",0.0810810810810811,2.85708730313047,1.93769300722294,0.0863474641407779,0.890980265532398,0.883391658772021,"GCLM/OPLAH/PGD",3
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","4/139","61/4898",0.0655737704918033,2.31064984078311,1.76026540048696,0.0938416227178333,0.890980265532398,0.883391658772021,"CR1/FCGR1A/ITGAM/MAPK14",4
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","4/139","61/4898",0.0655737704918033,2.31064984078311,1.76026540048696,0.0938416227178333,0.890980265532398,0.883391658772021,"BCL2A1/CCNA1/FCGR1A/ITGAM",4
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","3/139","40/4898",0.075,2.64280575539568,1.78279766193405,0.103394433188218,0.890980265532398,0.883391658772021,"COL17A1/SLC36A1/SLC36A4",3
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","2/139","20/4898",0.1,3.52374100719424,1.93265121463517,0.108985872960195,0.890980265532398,0.883391658772021,"CYP1B1/DHRS9",2
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","2/139","20/4898",0.1,3.52374100719424,1.93265121463517,0.108985872960195,0.890980265532398,0.883391658772021,"GYG1/HK3",2
NA,NA,"hsa04981","Folate transport and metabolism","2/139","20/4898",0.1,3.52374100719424,1.93265121463517,0.108985872960195,0.890980265532398,0.883391658772021,"FOLR3/MTHFS",2
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","3/139","41/4898",0.0731707317073171,2.57834707843481,1.73430304683906,0.109352719710364,0.890980265532398,0.883391658772021,"CDADC1/ENTPD1/UPP1",3
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","5/139","91/4898",0.0549450549450549,1.93612143252431,1.54038905225004,0.115331099081017,0.890980265532398,0.883391658772021,"ATP6V1C1/COX7B/NDUFA4/NDUFB1/NDUFB3",5
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","5/139","91/4898",0.0549450549450549,1.93612143252431,1.54038905225004,0.115331099081017,0.890980265532398,0.883391658772021,"IL18R1/MAP2K6/MAPK14/MMP9/SOCS3",5
